X,Y,District,Capital,Province,REG_EN,Regional
68.99405011,35.10354696,Shinwari,,Parwan,Capital,
68.60774952,34.78464656,Surkh-e-Parsa,,Parwan,Capital,
68.01519936,36.20085938,Aybak,1,Samangan,Northern,
67.2496764,35.68169268,Dara-e-Suf-e-Bala,,Samangan,Northern,
67.33924061,36.00212474,Dara-e-Suf-e-Payin,,Samangan,Northern,
67.57583045,36.45026088,Feroz Nakhchir,,Samangan,Northern,
67.97667098,36.36341359,Hazrat-e-Sultan,,Samangan,Northern,
68.00474814,35.98055243,Khuram Wa Sarbagh,,Samangan,Northern,
67.80686268,35.66797764,Ruy-e-Duab,,Samangan,Northern,
66.57240226,35.44280092,Balkhab,,Sar-e-Pul,Northern,
66.55276576,36.0036847,Gosfandi,,Sar-e-Pul,Northern,
65.80501676,35.41511083,Kohestanat,,Sar-e-Pul,Northern,
66.36659051,35.8680732,Sancharak,,Sar-e-Pul,Northern,
65.96518721,36.23562793,Sar-e-Pul,1,Sar-e-Pul,Northern,
65.68267317,36.16375677,Sayad,,Sar-e-Pul,Northern,
66.20198025,35.99898872,Sozmaqala,,Sar-e-Pul,Northern,
69.40095311,36.8272981,Baharak,,Takhar,North Eastern,
69.35215896,36.63610236,Bangi,,Takhar,North Eastern,
69.88257843,37.44680616,Chahab,,Takhar,North Eastern,
69.53577939,36.50758129,Chal,,Takhar,North Eastern,
69.48126607,37.44317127,Darqad,,Takhar,North Eastern,
69.49624485,37.19555212,Dasht-e-Qala,,Takhar,North Eastern,
69.43884314,36.37965867,Eshkmesh,,Takhar,North Eastern,
69.95753922,36.48259255,Farkhar,,Takhar,North Eastern,
69.57778358,36.93874132,Hazar Sumuch,,Takhar,North Eastern,
69.90685934,36.79477081,Kalafgan,,Takhar,North Eastern,
69.58359173,37.33984667,Khwaja Bahawuddin,,Takhar,North Eastern,
69.39973818,37.02583202,Khwaja Ghar,,Takhar,North Eastern,
69.73231288,36.43959508,Namak Ab,,Takhar,North Eastern,
69.80597377,37.11758382,Rostaq,,Takhar,North Eastern,
69.62850229,36.74328955,Taloqan,1,Takhar,North Eastern,
70.14148059,36.05803073,Warsaj,,Takhar,North Eastern,
69.66377325,37.47712633,Yangi Qala,,Takhar,North Eastern,
66.15274184,32.8884827,Chora,,Uruzgan,Southern,
65.42963827,32.56243012,Dehrawud,,Uruzgan,Southern,
66.66484187,32.98555961,Khas Uruzgan,,Uruzgan,Southern,
65.49216365,32.90082113,Shahid-e-Hassas,,Uruzgan,Southern,
