X,Y,District,Capital,Province
69.57778358,36.93874132,Hazar Sumuch,,Takhar
69.90685934,36.79477081,Kalafgan,,Takhar
69.58359173,37.33984667,Khwaja Bahawuddin,,Takhar
69.39973818,37.02583202,Khwaja Ghar,,Takhar
69.73231288,36.43959508,Namak Ab,,Takhar
69.80597377,37.11758382,Rostaq,,Takhar
69.62850229,36.74328955,Taloqan,1,Takhar
70.14148059,36.05803073,Warsaj,,Takhar
69.66377325,37.47712633,Yangi Qala,,Takhar
66.15274184,32.8884827,Chora,,Uruzgan
65.42963827,32.56243012,Dehrawud,,Uruzgan
66.66484187,32.98555961,Khas Uruzgan,,Uruzgan
65.49216365,32.90082113,Shahid-e-Hassas,,Uruzgan
65.94006697,32.72060013,Tirinkot,1,Uruzgan
67.00258138,32.50862099,Arghandab,,Zabul
67.3831141,31.72575523,Atghar,,Zabul
66.65333011,32.60510286,Daychopan,,Zabul
67.2178056,32.88688477,Kakar,,Zabul
66.50875676,32.17589431,Mizan,,Zabul
67.5631794,32.21271711,Nawbahar,,Zabul
66.99239311,32.21962611,Qalat,1,Zabul
67.37579268,32.48512727,Shah Joi,,Zabul
67.77917201,31.82100286,Shamul Zayi,,Zabul
67.1325792,31.94362601,Shinkay,,Zabul
66.57605606,31.92382598,Tarnak Wa Jaldak,,Zabul
