shapeid,x,y,PROV_NA_EN,DIST_NA_EN,color1
8,69.17230551,33.13562885,Paktika,Urgun,
8,69.20312088,33.14761929,Paktika,Urgun,
8,69.22403976,33.14208639,Paktika,Urgun,
8,69.21531059,33.09793516,Paktika,Urgun,
8,69.30132075,33.0849137,Paktika,Urgun,
8,69.3104015,33.09193843,Paktika,Urgun,
8,69.34055646,33.06555285,Paktika,Urgun,
8,69.35320422,33.06606328,Paktika,Urgun,
8,69.35296373,33.05525342,Paktika,Urgun,
8,69.3326108,33.02974384,Paktika,Urgun,
8,69.3222022,33.02755932,Paktika,Urgun,
8,69.32052402,33.01270036,Paktika,Urgun,
8,69.33068328,33.00532861,Paktika,Urgun,
8,69.32837026,32.98194138,Paktika,Urgun,
8,69.30548318,32.93073213,Paktika,Urgun,
8,69.28716331,32.94701048,Paktika,Urgun,
8,69.27122916,32.94379795,Paktika,Urgun,
8,69.23550582,32.90216355,Paktika,Urgun,
8,69.21457728,32.89134303,Paktika,Urgun,
8,69.18030513,32.84885333,Paktika,Urgun,
8,69.16996662,32.84565992,Paktika,Urgun,
9,69.85275958,33.3010465,Khost,Tani,
9,69.85665894,33.29299981,Khost,Tani,
9,69.87511045,33.2881266,Khost,Tani,
9,69.86976401,33.28169773,Khost,Tani,
9,69.88497643,33.27151421,Khost,Tani,
9,69.89138827,33.25265585,Khost,Tani,
9,69.8646094,33.20789867,Khost,Tani,
9,69.83947575,33.20211364,Khost,Tani,
9,69.81882881,33.18538572,Khost,Tani,
9,69.82306444,33.13271316,Khost,Tani,
9,69.84666879,33.09965414,Khost,Tani,
9,69.81567442,33.10812559,Khost,Tani,
9,69.79680492,33.1312321,Khost,Tani,
9,69.73605796,33.11290455,Khost,Tani,
9,69.7296039,33.09280336,Khost,Tani,
9,69.69220979,33.09142387,Khost,Tani,
9,69.66506334,33.10053838,Khost,Tani,
9,69.65535762,33.0894039,Khost,Tani,
9,69.6248117,33.10112959,Khost,Tani,
9,69.57558202,33.0993616,Khost,Tani,
9,69.60213964,33.16105287,Khost,Tani,
9,69.60293786,33.1835173,Khost,Tani,
9,69.5943284,33.19691613,Khost,Tani,
9,69.64837986,33.22981453,Khost,Tani,
9,69.65314431,33.26950265,Khost,Tani,
9,69.6598076,33.27503444,Khost,Tani,
9,69.67514573,33.2759145,Khost,Tani,
9,69.68759225,33.28672662,Khost,Tani,
9,69.80702853,33.27692027,Khost,Tani,
9,69.85275958,33.3010465,Khost,Tani,
10,69.87511045,33.2881266,Khost,Khost (Matun),
10,69.85665894,33.29299981,Khost,Khost (Matun),
10,69.85275958,33.3010465,Khost,Khost (Matun),
10,69.8710578,33.33105812,Khost,Khost (Matun),
10,69.86206711,33.34302445,Khost,Khost (Matun),
10,69.80624619,33.35968401,Khost,Khost (Matun),
10,69.78774002,33.35341348,Khost,Khost (Matun),
10,69.78439956,33.36176464,Khost,Khost (Matun),
10,69.8468185,33.41482074,Khost,Khost (Matun),
10,69.86178185,33.44505887,Khost,Khost (Matun),
10,69.88440445,33.45350256,Khost,Khost (Matun),
10,69.90747254,33.43066778,Khost,Khost (Matun),
10,69.94859801,33.42272123,Khost,Khost (Matun),
10,69.99734234,33.43754934,Khost,Khost (Matun),
