X,Y,Shape_Leng,Shape_Area,ADM2_EN,ADM2_DA,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1DA,ADM2ALT2DA,ADM1_EN,ADM1_DA,ADM1_PCODE,ADM0_EN,ADM0_DA,ADM0_PCODE,date,validOn,ValidTo,REG_EN,REG_DA,REG_PCODE
69.76757309,35.21974066,1.394229035,0.070566942,Dara,دره,AF0803,,,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
70.57748371,34.70604969,0.647954413,0.025443023,Dara-e-Nur,دره نور,AF0612,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
70.91333047,34.95256519,1.098239515,0.054207397,Dara-e-Pech,دره پیچ,AF1507,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
67.2496764,35.68169268,3.523591953,0.287820082,Dara-e-Suf-e-Bala,درۀ صوف بالا,AF2007,,,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
67.33924061,36.00212474,2.127297697,0.134151631,Dara-e-Suf-e-Payin,درۀ صوف پائین,AF2006,,,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
70.47093146,36.88228795,1.295426201,0.056675335,Darayem,درایم,AF1707,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.48126607,37.44317127,1.19763197,0.037417731,Darqad,درقد,AF1815,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
65.35439215,36.01316093,1.302636066,0.047732112,Darzab,درز آب,AF2811,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
69.15221246,36.95775421,1.291630456,0.08721947,Dasht-e-Archi,دشت ارچی,AF1906,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.49624485,37.19555212,0.949260504,0.033355548,Dasht-e-Qala,دشت قلعه,AF1812,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
